PWM_us,GroundSpeed_ms,Current_A
1850,0.073,3.36
1860,0.073,2.41
1870,0.073,2.94
1880,0.073,5.91
1890,0.073,4.75
1900,0.073,5.83
1910,0.073,3.79
1920,0.073,5.81
