PWM_us,GroundSpeed_ms,Current_A
1850,0.073,3.43
1860,0.073,2.71
1870,0.073,2.41
1880,0.073,3.62
1890,0.073,4.64
1900,0.073,5.31
1910,0.073,4.34
1920,0.073,3.72
1930,0.073,5.91
1940,0.073,5.91
1950,0.073,5.61
