PWM_us,GroundSpeed_ms,Current_A
1850,0.073,5.91
1860,0.073,2.77
1870,0.073,3.76
1880,0.073,4.50
1890,0.073,5.91
1900,0.073,3.15
1910,0.073,3.52
1920,0.073,5.91
1930,0.073,3.64
1940,0.073,5.14
1950,0.073,4.01
